cust_id,age,income,age of account,customer_segment,prom_0,prom_1,prom_2,prom_3,prom_4,prom_5,prom_6,prom_7,prom_8,prom_9,total_amount_purchased
e2127556f4f64592b11af22de27a7932,68,70,2,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,57.730000000000004
389bc3fa690240e798340f5a15918d5c,65,53,5,4,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,36.43
2eeac8d8feae4a8cad5a6af0499a211d,58,51,8,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,15.62
e12aeaf2d47d42479ea1c4ac3d8286c6,26,46,53,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.21999999999999
62cf5e10845442329191fc246e7bcea3,49,52,44,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,144.11
6445de3b47274c759400cd68131d91b4,57,42,6,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.1
4b0da7e80e5945209a1fdddfe813dbe0,64,100,10,1,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,211.29000000000002
f806632c011441378d4646567f357a21,42,69,59,5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,91.4
ebe7ef46ea6f4963a7dd49f501b26779,59,41,42,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,52.08
5917d13f6fa04286abdf95f4d5cefb1e,67,96,47,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,206.88
1e9420836d554513ab90eba98552d0a9,22,70,9,0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,106.38
f082d80f0aac47a99173ba8ef8fc1909,40,33,24,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,40.94
8dabe2142cdf4013a6f4786edf8ab00f,56,68,50,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,167.67000000000004
6e014185620b49bd98749f728747572f,75,40,32,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,155.53
c0d210398dee4a0895b24444a5fcd1d2,45,33,0,4,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,61.25
8b70ca1f5f5a45bdac2ac2f990b71526,61,98,8,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,234.42999999999995
be8a5d1981a2458d90b255ddc7e0d174,39,51,49,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,51.910000000000004
9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,42,96,30,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,320.48
186d6403f5824c739555b732f4af3f16,45,48,9,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0
8a87fda1a6644337b4394a4c3cd0946c,29,50,26,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.169999999999995
b7a66e629b134079a9bc7120c7b9947b,44,35,10,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,150.23
ca82e1ebc759402c8ab95c341755bdf1,63,56,0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,121.61999999999999
54890f68699049c2a04d415abc25e717,36,56,6,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,118.85
d3f146b615514c6380b168bb3df5f05b,68,87,11,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,177.18
a5a6ef2b78a04ddc9f374dd7c7f60bff,75,52,31,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,135.54000000000002
