id,age,income,age of account,num purchases,amount per purchase
e2127556f4f64592b11af22de27a7932,68,70,2,3,19.243333333333336
389bc3fa690240e798340f5a15918d5c,65,53,5,3,12.143333333333333
2eeac8d8feae4a8cad5a6af0499a211d,58,51,8,4,3.905
e12aeaf2d47d42479ea1c4ac3d8286c6,26,46,53,11,5.11090909090909
62cf5e10845442329191fc246e7bcea3,49,52,44,9,16.012222222222228
6445de3b47274c759400cd68131d91b4,57,42,6,6,3.1833333333333336
4b0da7e80e5945209a1fdddfe813dbe0,64,100,10,7,30.184285714285718
f806632c011441378d4646567f357a21,42,69,59,5,18.28
ebe7ef46ea6f4963a7dd49f501b26779,59,41,42,13,4.006153846153846
5917d13f6fa04286abdf95f4d5cefb1e,67,96,47,8,25.86
1e9420836d554513ab90eba98552d0a9,22,70,9,6,17.73
f082d80f0aac47a99173ba8ef8fc1909,40,33,24,14,2.924285714285714
8dabe2142cdf4013a6f4786edf8ab00f,56,68,50,9,18.630000000000003
6e014185620b49bd98749f728747572f,75,40,32,10,15.553
c0d210398dee4a0895b24444a5fcd1d2,45,33,0,8,7.65625
8b70ca1f5f5a45bdac2ac2f990b71526,61,98,8,8,29.303749999999994
be8a5d1981a2458d90b255ddc7e0d174,39,51,49,14,3.7078571428571436
9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,42,96,30,12,26.706666666666667
186d6403f5824c739555b732f4af3f16,45,48,9,6,2.8333333333333335
8a87fda1a6644337b4394a4c3cd0946c,29,50,26,12,3.1808333333333327
b7a66e629b134079a9bc7120c7b9947b,44,35,10,18,8.34611111111111
ca82e1ebc759402c8ab95c341755bdf1,63,56,0,9,13.513333333333332
54890f68699049c2a04d415abc25e717,36,56,6,7,16.97857142857143
d3f146b615514c6380b168bb3df5f05b,68,87,11,8,22.1475
a5a6ef2b78a04ddc9f374dd7c7f60bff,75,52,31,11,12.321818181818184
2e87ba0fba1a4d1a8614af771f07a94d,67,76,16,12,16.731666666666666
d8af520c4a8a4c77b921098d7d838c4d,77,51,23,11,2.1645454545454546
39dbcf43e24d41f4bbf0f134157e0e1e,76,64,46,8,13.865
b62e66ca4dcf4df39fd522e750a88d81,57,98,5,1,27.24
